2,-1
45,5
12,40
4,20
30,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
99,91
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
61,54
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
29,11
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
88,7
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
44,3
8,20
1,10
2,30
4,40
24,50
69,160
30,90
40,20
50,9
60,10
60,-1
8,20
1,10
2,30
4,40
24,50
24,-1
30,90
40,20
50,9
60,10
55,5
8,20
1,10
2,30
4,40
24,50
199,10
30,90
40,20
50,9
60,10
100,100
8,20
1,10
2,30
4,40
24,50
101,102
30,90
40,20
