63,50
164,119
189,53
150,40
13,141
24,172
119,50
191,99
72,20
68,149
61,93
49,1
20,29
59,115
88,88
143,155
60,10
14,53
180,195
51,75
49,139
177,68
171,199
15,0
46,17
141,186
39,35
94,12
134,68
94,197
68,9
131,38
124,172
6,64
195,89
89,111
49,163
39,66
111,139
112,72
160,185
148,163
82,128
53,104
148,166
7,77
127,33
170,154
183,2
60,64
193,133
112,196
116,167
163,124
10,86
11,48
109,156
49,114
84,52
13,94
21,171
22,2
194,7
185,6
94,107
119,157
47,65
105,146
3,149
29,35
140,120
168,161
110,75
43,45
142,79
159,188
82,35
35,108
173,197
67,44
9,23
0,55
116,115
172,41
54,79
156,0
87,194
46,148
75,28
162,150
183,81
19,100
98,54
29,195
95,98
30,83
175,102
78,191
65,21
112,1
68,36
57,138
97,146
70,23
75,193
79,84
176,195
184,69
111,61
44,103
193,150
146,35
33,56
18,51
46,6
118,75
6,68
35,80
123,130
183,116
127,185
178,55
144,107
191,7
38,30
170,153
34,130
41,149
183,174
28,173
99,62
134,125
84,151
155,60
140,113
178,170
134,36
83,168
1,3
0,146
186,59
125,47
11,52
192,15
168,198
19,148
166,53
79,97
101,70
121,181
29,15
127,57
9,114
1,141
32,169
154,158
121,43
189,139
156,22
2,187
5,50
40,143
10,132
178,30
18,159
109,132
53,196
29,193
32,27
37,87
64,119
45,124
115,182
59,60
4,62
125,159
198,97
155,185
5,161
7,44
2,4
134,119
165,168
181,34
139,175
158,39
167,116
91,130
138,124
191,113
84,150
66,109
42,51
99,143
80,109
101,43
174,155
108,79
125,195
143,116
120,63
69,164
142,24
114,18
20,53
1,124
156,117
128,100
162,96
41,50
131,193
133,59
198,6
120,69
173,198
82,128
34,89
122,62
12,124
162,146
129,66
112,157
67,147
184,156
149,80
108,114
45,148
86,84
33,92
130,104
12,16
63,20
15,39
156,157
178,62
109,172
10,113
92,42
186,120
10,133
12,11
29,152
39,54
105,103
56,29
170,31
74,192
165,106
72,136
84,169
79,55
32,191
183,172
31,172
16,180
21,71
143,170
76,83
152,119
6,130
43,185
111,36
168,64
5,49
29,108
106,26
133,168
166,179
103,50
39,52
110,40
82,91
197,83
32,82
57,183
92,175
113,65
42,46
22,111
79,81
133,27
69,24
17,136
85,73
35,139
52,160
60,194
176,15
31,112
18,7
42,134
196,165
27,187
58,6
4,133
146,26
176,197
117,100
182,119
134,183
99,142
71,90
82,188
81,149
61,55
82,73
34,37
166,20
16,1
72,10
89,170
111,180
136,11
12,172
10,149
144,39
158,150
72,177
135,5
58,172
70,154
143,0
154,58
177,156
9,185
124,99
166,47
134,119
115,67
112,138
53,114
180,47
189,48
174,13
131,12
174,43
43,24
162,21
33,135
110,93
78,197
61,178
66,178
14,156
49,55
121,93
121,70
42,193
56,13
91,150
79,179
99,20
3,186
162,94
72,27
124,167
134,140
180,30
150,37
104,9
36,189
145,197
180,65
73,76
94,46
4,196
67,90
49,87
167,166
73,141
39,46
4,75
162,182
80,198
58,182
59,0
18,79
54,18
134,164
146,48
64,97
148,192
135,135
178,146
111,69
20,144
109,48
182,15
90,115
130,148
181,199
16,192
171,36
128,36
192,45
196,117
109,72
56,168
74,107
123,126
194,88
102,41
187,177
185,93
37,188
98,7
176,55
175,9
24,156
136,147
162,14
24,107
190,26
179,14
132,119
39,100
153,45
52,55
17,185
94,44
68,135
39,8
19,118
7,3
25,71
54,144
60,166
166,186
107,7
91,153
95,161
12,114
108,54
41,26
174,161
116,67
14,190
2,53
189,180
105,198
125,46
129,105
125,69
165,11
115,63
41,136
49,3
115,26
66,162
115,42
67,7
165,77
100,151
195,79
47,162
21,130
181,47
162,144
45,115
14,172
175,18
92,149
194,36
155,19
68,89
67,167
192,101
14,199
46,148
113,7
56,198
186,16
153,180
105,20
158,24
105,15
134,1
85,168
92,76
197,109
57,59
57,42
60,106
138,98
163,148
85,116
121,122
25,23
40,75
61,13
94,13
93,59
113,98
108,143
188,51
137,88
50,105
100,121
128,149
111,110
76,95
63,29
